archive,gauge_id,family,draw,status,reason,tau_acf_days,n_curve_points
CAMELS-US,01013500,matched_ar1,0,included,included,70.52176518791775,125
CAMELS-US,01022500,matched_ar1,0,included,included,8.612564156083158,125
CAMELS-US,01030500,matched_ar1,0,included,included,40.25574494034993,125
CAMELS-US,01031500,matched_ar1,0,included,included,3.4026430010936513,125
CAMELS-US,01047000,matched_ar1,0,included,included,2.9279605862439846,125
CAMELS-US,01052500,matched_ar1,0,included,included,3.4352169109630033,125
CAMELS-US,01054200,matched_ar1,0,included,included,1.4095639970976783,125
CAMELS-US,01055000,matched_ar1,0,included,included,1.666648451639841,125
CAMELS-US,01057000,matched_ar1,0,included,included,3.1192901233354395,125
CAMELS-US,01073000,matched_ar1,0,included,included,3.0043794044332817,125
CAMELS-US,01078000,matched_ar1,0,included,included,5.970739938859375,125
CAMELS-US,01118300,matched_ar1,0,included,included,2.7132186777684573,125
CAMELS-US,01121000,matched_ar1,0,included,included,1.9011924147811812,125
CAMELS-US,01123000,matched_ar1,0,included,included,2.102384575442695,125
CAMELS-US,01134500,matched_ar1,0,included,included,4.001047355181254,125
CAMELS-US,01137500,matched_ar1,0,included,included,2.2058802854061423,125
CAMELS-US,01139000,matched_ar1,0,included,included,3.6310693270873537,125
CAMELS-US,01139800,matched_ar1,0,included,included,3.242285243004422,125
CAMELS-US,01142500,matched_ar1,0,included,included,3.9731038675072536,125
CAMELS-US,01144000,matched_ar1,0,included,included,3.9158347942022846,125
CAMELS-US,01162500,matched_ar1,0,included,included,8.911569898822945,125
CAMELS-US,01169000,matched_ar1,0,included,included,1.9358625201797504,125
CAMELS-US,01170100,matched_ar1,0,included,included,1.9215538582161191,125
CAMELS-US,01181000,matched_ar1,0,included,included,1.6437477712838406,125
CAMELS-US,01187300,matched_ar1,0,included,included,1.7050857552504806,125
CAMELS-US,01195100,matched_ar1,0,included,included,2.1460554426927008,125
CAMELS-US,01333000,matched_ar1,0,included,included,3.965755679489508,125
