draw,n_gauges,median_eval_nse,median_eval_kge,median_beta_de_distance,median_abs_log10_tau_error
0,666,-0.16296228611213442,0.0919057466426608,0.48153785994581744,0.19532071402025095
1,666,-0.1698832562595029,0.0924830453364539,0.48263903085337645,0.2121579072861288
2,666,-0.16715659242653955,0.0994337863933332,0.48321808463305704,0.20275199532255583
3,666,-0.16170366939781486,0.09711357098666634,0.47631494376816835,0.20944465242353633
4,666,-0.16885557730127038,0.09077532773266545,0.47484183492614185,0.19184034834004005
5,666,-0.16372855464725183,0.09226285367567405,0.47631733512313856,0.21146154921184965
6,666,-0.16006070174259085,0.0992578115565945,0.4757484949700628,0.2076567061247575
7,666,-0.16088277589756755,0.09699511405202241,0.48316292336467,0.19756401538607635
8,666,-0.16567211100561846,0.09140338984754585,0.47764765171489043,0.19073439500166045
9,666,-0.16451146919673315,0.09085543368843095,0.4849476714579991,0.20273984776065707
10,666,-0.16937237821759177,0.0936149447214666,0.4772691158032166,0.21235915370252514
11,666,-0.16242256834885543,0.09398791249026535,0.4737298087485826,0.1948759985046058
12,666,-0.1582188088952206,0.09505705133599275,0.48112772648955116,0.20026837026961464
13,666,-0.16072305832136097,0.09469472356618225,0.47740193671344217,0.19655446943603955
14,666,-0.1627517739718852,0.09926756984158411,0.48349211669465797,0.19040335520698964
15,666,-0.16136430103401175,0.09760303556571964,0.47766285446654655,0.2128422356616923
16,666,-0.16227570561051435,0.09415481448350835,0.47694017167228114,0.21115650950740356
17,666,-0.15627661263292264,0.09420035861250314,0.47171399038881623,0.20243878368554713
18,666,-0.16157489250838142,0.09822278312940674,0.4729837467194684,0.1922257081016506
19,666,-0.1613152171024873,0.09139546610101106,0.4833463213012524,0.19210017039224944
20,666,-0.15993205237370067,0.09481737523213415,0.474593237990054,0.20788322442196588
21,666,-0.15811191670217434,0.09329615013634925,0.4711115324052251,0.2081483355139139
22,666,-0.16289004521702238,0.09383549807062014,0.46780576458337453,0.1970220759064883
23,666,-0.15782659830508833,0.1008427787163103,0.4711703844263435,0.20802461461621213
24,666,-0.155401792497562,0.09104815975979225,0.47473013084307836,0.1998977527939999
25,666,-0.16804260159330014,0.0993318449522736,0.4708283010419123,0.19852630367860716
26,666,-0.16338541438664955,0.09817089812444779,0.481767200846073,0.2161832604371313
27,666,-0.1656861946005632,0.094579162225892,0.47998380722337475,0.19226729154159988
28,666,-0.16684584028971525,0.09706297063562916,0.4778833704998442,0.2027030142275135
29,666,-0.16254016766984308,0.09878023765822574,0.48302743364279255,0.2053732343168121
30,666,-0.1596627614901534,0.09855687136021354,0.47866719103838645,0.20031137142507216
31,666,-0.1571678381104264,0.09387691094698815,0.479773306267059,0.19970732693941745
32,666,-0.15549027162588575,0.0968813891800218,0.4709622779307844,0.19791892383168255
33,666,-0.1708306823880233,0.09889904947642231,0.48073281976440274,0.2029658725489205
34,666,-0.16383523838990083,0.0884056711731489,0.4758602164266039,0.22291924058781376
35,666,-0.1663393285874705,0.0948141771881981,0.47680153806800296,0.2009764532208457
36,666,-0.16231318971229808,0.0987421231721557,0.4825842486145267,0.2150947532887407
37,666,-0.17032254579303915,0.0991758158747708,0.47544534520666426,0.19899644950292933
38,666,-0.16056291422208466,0.0975074241655968,0.4832517778066657,0.2064893811808435
39,666,-0.1648741777215171,0.09971295865619274,0.47960935649896896,0.2025990310436987
40,666,-0.1673252519234568,0.09483385283352849,0.47855538759779304,0.21804017254655617
41,666,-0.16773849305876914,0.0973667585040439,0.47464940890641816,0.20877517739034118
42,666,-0.1593685487311997,0.0962916074558024,0.4820888599718155,0.20972979928268226
43,666,-0.16470477736941996,0.09633560452110496,0.47581478970558744,0.21018077009503017
44,666,-0.164463515026474,0.1016518076190917,0.4742499302230383,0.20705441466467475
45,666,-0.1620576869513763,0.0940528815785705,0.4732563142789862,0.199497984554599
46,666,-0.16675814009816756,0.09477417258179835,0.4685356678825948,0.21143668969858487
47,666,-0.1628798557808425,0.09175448109330525,0.4740474010490153,0.20950518343183905
48,666,-0.1603410342228184,0.09428558428086994,0.4799286810494847,0.19061322958921972
49,666,-0.166238046089891,0.0925633788862267,0.47331626586070363,0.1957860869263438
