archive,n_gauges,observed_fraction,bootstrap_median_fraction,ci_low_fraction,ci_high_fraction,probability_positive,claim_class,observed_percent,bootstrap_median_percent,ci_low_percent,ci_high_percent,panel,n_draws,random_tau_median_fraction,random_tau_ci_low_fraction,random_tau_ci_high_fraction,random_tau_max_fraction,empirical_p_random_ge_observed,random_tau_column,random_tau_median_percent,random_tau_ci_low_percent,random_tau_ci_high_percent,random_tau_max_percent,coordinate_key,label,raw_weighted_beta_variance,de_weighted_beta_variance,reduction_fraction,raw_n_bins,de_n_bins,reduction_percent,evidence_layer,result,claim_allowed,claim_not_allowed
CAMELS-US,673.0,0.2290332243392595,0.2299383981587355,0.1699643449834783,0.2899474852006091,100.0,positive cross-archive alignment,22.90332243392595,22.99383981587355,16.996434498347828,28.99474852006091,a_archive_observed_bootstrap,,,,,,,,,,,,,,,,,,,,,,,
CAMELS-GB v2,664.0,0.1570562891921467,0.1615984741158016,0.1193386455822452,0.202086226919727,100.0,positive cross-archive alignment,15.70562891921467,16.15984741158016,11.93386455822452,20.2086226919727,a_archive_observed_bootstrap,,,,,,,,,,,,,,,,,,,,,,,
CAMELS-BR v1.2,893.0,0.122390153737815,0.1228568049052013,0.0909272249918717,0.1590390862087539,100.0,positive cross-archive alignment,12.2390153737815,12.28568049052013,9.09272249918717,15.90390862087539,a_archive_observed_bootstrap,,,,,,,,,,,,,,,,,,,,,,,
CAMELS-AUS v2,560.0,0.0643230160330537,0.0636204053875985,-0.0074169457621477,0.1269186143687577,96.2,weak positive archive-level effect,6.43230160330537,6.3620405387598495,-0.74169457621477,12.69186143687577,a_archive_observed_bootstrap,,,,,,,,,,,,,,,,,,,,,,,
CAMELS-DK lowland,220.0,-0.0523877897991833,-0.0445892205591997,-0.1073435652724476,0.0151177353055891,7.000000000000001,lowland boundary; not a positive replication,-5.23877897991833,-4.45892205591997,-10.73435652724476,1.51177353055891,a_archive_observed_bootstrap,,,,,,,,,,,,,,,,,,,,,,,
CAMELS-US,,0.2290332243392595,,,,,,22.90332243392595,,,,b_random_tau_null,300.0,-0.21736543257015406,-0.25409856695261596,-0.18231217800193333,-0.1452204567784176,0.0033222591362126247,variance_reduction_vs_matched_raw,-21.736543257015406,-25.409856695261595,-18.231217800193335,-14.52204567784176,,,,,,,,,,,,
CAMELS-GB v2,,0.1570562891921467,,,,,,15.70562891921467,,,,b_random_tau_null,300.0,-0.1421054027410493,-0.17380128641134632,-0.1114923408267969,-0.0769037396930594,0.0033222591362126247,variance_reduction_vs_raw,-14.210540274104929,-17.380128641134633,-11.14923408267969,-7.69037396930594,,,,,,,,,,,,
CAMELS-BR v1.2,,0.122390153737815,,,,,,12.2390153737815,,,,b_random_tau_null,300.0,-0.10529812026224936,-0.13103955012038623,-0.08121067155655878,-0.0639683896999359,0.0033222591362126247,variance_reduction_fraction,-10.529812026224935,-13.103955012038623,-8.121067155655878,-6.39683896999359,,,,,,,,,,,,
CAMELS-AUS v2,,0.0643230160330537,,,,,,6.43230160330537,,,,b_random_tau_null,300.0,-0.3763435727547034,-0.428199617789983,-0.3184983169965173,-0.274478016302745,0.0033222591362126247,variance_reduction_fraction,-37.63435727547034,-42.8199617789983,-31.84983169965173,-27.447801630274498,,,,,,,,,,,,
CAMELS-DK lowland,,-0.0523877897991833,,,,,,-5.23877897991833,,,,b_random_tau_null,300.0,-0.18458301096464896,-0.24550651234901968,-0.11690319291139438,-0.0710837014050583,0.0033222591362126247,variance_reduction_fraction,-18.458301096464897,-24.55065123490197,-11.690319291139438,-7.108370140505831,,,,,,,,,,,,
,220.0,,,,,,,,,,,c_dk_coordinate_sensitivity,,,,,,,,,,,,tau_acf_days,observed discharge tau,0.2759753629262907,0.2904331022290266,-0.0523877897991833,24.0,24.0,-5.23877897991833,,,,
,219.0,,,,,,,,,,,c_dk_coordinate_sensitivity,,,,,,,,,,,,DKM_wcr_tau_days,DK-model soil-water tau,0.2764523750072045,0.2637367260054946,0.0459958030795665,24.0,24.0,4.59958030795665,,,,
,219.0,,,,,,,,,,,c_dk_coordinate_sensitivity,,,,,,,,,,,,DKM_dtp_tau_days,DK-model phreatic-depth tau,0.2764523750072045,0.3119205916007066,-0.1282977460134962,24.0,23.0,-12.82977460134962,,,,
,220.0,,,,,,,,,,,c_dk_coordinate_sensitivity,,,,,,,,,,,,Qdkm_tau_days,DK-model runoff tau,0.2759753629262907,0.3107276130732376,-0.1259251904896622,24.0,23.0,-12.592519048966219,,,,
,219.0,,,,,,,,,,,c_dk_coordinate_sensitivity,,,,,,,,,,,,DKM_gwh_tau_days,DK-model deep-groundwater-head tau,0.2764523750072045,0.3808574817880762,-0.3776603719832426,24.0,24.0,-37.76603719832426,,,,
,,,,,,,,,,,,d_evidence_ledger,,,,,,,,,,,,,,,,,,,,four primary archives,"US, GB and Brazil have fully positive bootstrap intervals; Australia is weak-positive with a lower CI crossing zero",bounded portability of a diagnostic coordinate,universal collapse constant
,,,,,,,,,,,,d_evidence_ledger,,,,,,,,,,,,,,,,,,,,CAMELS-DK lowland archive,observed-discharge De increases beta variance by about 5 percent,lowland boundary case,fifth positive replication
,,,,,,,,,,,,d_evidence_ledger,,,,,,,,,,,,,,,,,,,,shuffled-memory null,random tau assignments are negative in all five archives,measured-memory specificity under this null,excess over matched AR(1)
,,,,,,,,,,,,d_evidence_ledger,,,,,,,,,,,,,,,,,,,,DK storage-state coordinates,"soil-water memory is small-positive; phreatic, runoff and deep-groundwater memories are negative",storage-compatible boundary evidence,monotone groundwater-memory causality
