attribute,n,spearman_rho_logtau,p_value,partial_rank_rho_logtau,partial_p_value,attribute_type,q_value_bh,partial_q_value_bh
baseflow_index,876,0.7622317133046015,2.8669458696752134e-167,0.75084045190529,1.3018599582087958e-159,streamflow-derived,2.866945869675213e-166,1.3018599582087958e-158
geol_porosity,893,0.1410923450773005,2.3207933919882337e-05,0.09065185017473376,0.0067131741118107375,independent_proxy_or_covariate,2.9009917399852922e-05,0.006713174111810738
geol_permeability,893,0.1627295131092106,1.0151814343901243e-06,0.15784738534289444,2.1360297553922156e-06,independent_proxy_or_covariate,1.450259191985892e-06,3.5600495923203594e-06
carb_rocks_perc,893,0.039869290681751345,0.2339588827970398,-0.14229117087315932,1.973394585359034e-05,independent_proxy_or_covariate,0.2339588827970398,2.4667432316987926e-05
bedrock_depth,893,0.39919962822501204,1.72527884975915e-35,0.2699299511241532,2.251285259467137e-16,independent_proxy_or_covariate,8.62639424879575e-35,5.628213148667842e-16
water_table_depth,893,-0.2455333391691388,9.975809959191797e-14,-0.29887727067711056,6.95674521952322e-20,independent_proxy_or_covariate,2.493952489797949e-13,2.318915073174407e-19
sand_perc,893,0.30373250386312833,1.6329144497618824e-20,0.3260664678218253,1.4498328380586982e-23,independent_proxy_or_covariate,5.443048165872942e-20,7.249164190293491e-23
clay_perc,893,-0.19959948888015747,1.7774049274491244e-09,-0.1828708159094701,3.7218274984521e-08,independent_proxy_or_covariate,3.554809854898249e-09,7.4436549969042e-08
aridity,893,0.195913815770386,3.556230055919919e-09,0.1129366621291236,0.0007222429665014083,independent_proxy_or_covariate,5.927050093199865e-09,0.0008024921850015648
regulation_degree,893,0.05495906389802799,0.10073770901372135,-0.14869563807762887,8.116355378762857e-06,independent_proxy_or_covariate,0.11193078779302372,1.1594793398232652e-05
