archive,attribute,n,spearman_rho,p_value,q_value
CAMELS-GB,snow fraction,664,-0.25006486328964905,6.331496815253766e-11,6.331496815253766e-10
CAMELS-GB,mean elevation,664,-0.24018701427313238,3.6214222061270976e-10,1.8107111030635488e-09
CAMELS-GB,aridity,664,0.20175056783364656,1.5802169691118939e-07,5.267389897039646e-07
CAMELS-GB,mean slope,664,-0.17259530070100576,7.723888625137133e-06,1.9309721562842833e-05
CAMELS-GB,log10 tau_acf,664,0.13788353837218023,0.0003661529318315739,0.0007323058636631478
CAMELS-GB,area,664,-0.12985827683697418,0.0007961749282399607,0.0013269582137332677
CAMELS-GB,runoff ratio,664,-0.1257485237806823,0.0011658528242333207,0.0016655040346190296
CAMELS-GB,precipitation seasonality,664,0.09362748910226286,0.015805804668278307,0.019757255835347882
CAMELS-GB,zero-flow frequency,664,0.028413027115016327,0.4648276709752993,0.5164751899725548
CAMELS-GB,baseflow index,664,0.014063923384795266,0.7175485590708488,0.7175485590708488
CAMELS-US,aridity,669,0.3041201179730092,8.7926058087510175e-16,8.792605808751018e-15
CAMELS-US,log10 tau_acf,671,0.23599800920879951,6.037425293517504e-10,3.0187126467587517e-09
CAMELS-US,runoff ratio,668,-0.2121763559024977,3.0816085292404145e-08,1.0272028430801381e-07
CAMELS-US,precipitation seasonality,669,0.14264550345129967,0.0002142642935757661,0.0005356607339394153
CAMELS-US,zero-flow frequency,668,0.13758206750456392,0.0003621717042197255,0.000724343408439451
CAMELS-US,baseflow index,669,0.021918788752726792,0.5714359170650255,0.6349287967389172
CAMELS-US,geologic permeability,669,0.023300590235987562,0.5474236427148657,0.6349287967389172
CAMELS-US,geologic porosity,666,-0.032390175971525596,0.4039760569680416,0.6349287967389172
CAMELS-US,snow fraction,669,0.0282929510097206,0.46503824117449444,0.6349287967389172
CAMELS-US,area,669,0.002812018747032114,0.9421267430352849,0.9421267430352849
